img_url1,img_url2,prompt,num_questions,seed,question1,question2
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+spherical+globe+and+a+conical+pencil./1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+spherical+globe+and+a+conical+pencil./1.png,a spherical globe and a conical pencil.,2,1,a spherical globe,a conical pencil
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+diamond+ring+and+a+pyramidal+ring+box/3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+diamond+ring+and+a+pyramidal+ring+box/3.png,a diamond ring and a pyramidal ring box,2,3,a diamond ring,a pyramidal ring box
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/an+oblong+squash+and+a+teardrop+nectarine./1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/an+oblong+squash+and+a+teardrop+nectarine./1.png,an oblong squash and a teardrop nectarine.,2,1,an oblong squash,a teardrop nectarine
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+tall+skyscraper+and+a+short+lamppost/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+tall+skyscraper+and+a+short+lamppost/2.png,a tall skyscraper and a short lamppost,2,2,a tall skyscraper,a short lamppost
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+rectangular+mirror+and+a+spherical+magnifying+glass/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+rectangular+mirror+and+a+spherical+magnifying+glass/2.png,a rectangular mirror and a spherical magnifying glass,2,2,a rectangular mirror,a spherical magnifying glass
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/an+big+bathtub+and+a+square+showerhead/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/an+big+bathtub+and+a+square+showerhead/1.png,an big bathtub and a square showerhead,2,1,an big bathtub,a square showerhead
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+pentagonal+pencil+and+a+teardrop+pencil+sharpener/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+pentagonal+pencil+and+a+teardrop+pencil+sharpener/1.png,a pentagonal pencil and a teardrop pencil sharpener,2,1,a pentagonal pencil,a teardrop pencil sharpener
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+tube+of+toothpaste/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+tube+of+toothpaste/1.png,a cubic block and a cylindrical tube of toothpaste,3,1,a cubic block,a cylindrical tube,toothpaste
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+pyramidal+paperweight+and+a+conical+pen+holder/3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+pyramidal+paperweight+and+a+conical+pen+holder/3.png,a pyramidal paperweight and a conical pen holder,2,3,a pyramidal paperweight,a conical pen holder
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+triangular+slice+of+pie+and+a+rectangular+pie+dish/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+triangular+slice+of+pie+and+a+rectangular+pie+dish/1.png,a triangular slice of pie and a rectangular pie dish,3,1,a triangular slice,pie,a rectangular pie dish
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+pentagonal+pencil+sharpener+and+a+spherical+pencil+eraser/3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+pentagonal+pencil+sharpener+and+a+spherical+pencil+eraser/3.png,a pentagonal pencil sharpener and a spherical pencil eraser,2,3,a pentagonal pencil sharpener,a spherical pencil eraser
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+cubic+block+and+a+triangular+building+set/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+cubic+block+and+a+triangular+building+set/2.png,a cubic block and a triangular building set,1,2,a cubic block
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+tall+palm+tree+and+a+short+shrub/3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+tall+palm+tree+and+a+short+shrub/3.png,a tall palm tree and a short shrub,2,3,a tall palm tree,a short shrub
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+conical+Christmas+tree+and+a+pentagonal+tree+skirt/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+conical+Christmas+tree+and+a+pentagonal+tree+skirt/2.png,a conical Christmas tree and a pentagonal tree skirt,2,2,a conical christmas tree,a pentagonal tree skirt
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+spherical+balloon+and+a+conical+party+hat/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+spherical+balloon+and+a+conical+party+hat/2.png,a spherical balloon and a conical party hat,2,2,a spherical balloon,a conical party hat
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+tube+of+toothpaste/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+tube+of+toothpaste/2.png,a cubic block and a cylindrical tube of toothpaste,3,2,a cubic block,a cylindrical tube,toothpaste
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+cylindrical+vase+and+a+triangular+flower+arrangement/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+cylindrical+vase+and+a+triangular+flower+arrangement/1.png,a cylindrical vase and a triangular flower arrangement,2,1,a cylindrical vase,a triangular flower arrangement
